"",Timelag,Model,F1 Training,F1 Validation,F1 Testing,AUCPR Training,AUCPR Validation,AUCPR Testing,Seed,Date
17,5,Transformer,0.812833,0.803002,0.769604,0.886500,0.871612,0.853039,1234,70
1,5,LSTM,0.807737,0.803021,0.764322,NaN,0.865251,0.829873,8,0703_120010
3,10,LSTM,0.827546,0.817783,0.778537,NaN,0.881621,0.848281,8,0703_130438
2,10,Transformer,0.829837,0.812580,0.779505,NaN,0.886761,0.864031,9,/0704_071735
5,15,LSTM,0.832499,0.822793,0.779359,NaN,0.887174,0.871353,3,0703_133700
15,15,Transformer,0.833825,0.816275,0.784135,0.904510,0.892763,0.865140,1234,70
7,20,LSTM,0.837223,0.827930,0.775552,NaN,0.891113,0.851250,3,0703_144153
14,20,Transformer,0.846883,0.817722,0.788604,0.916507,0.888227,0.863853,1234,70
9,25,LSTM,0.841817,0.828750,0.771319,NaN,0.893475,0.853970,3,0703_154627
8,25,Transformer,0.847634,0.823529,0.792332,NaN,0.897801,0.862939,8,0704_122024
12,30,Transformer,0.842722,0.822985,0.792131,0.916061,0.900533,0.875865,1234,70
11,30,LSTM,0.845434,0.826767,0.773512,NaN,0.895775,0.853658,3,0703_165140
