run_id,val_aucpr,val_f1_score,train_aucpr,train_f1_score,test_f1_score,test_aucpr,test_precision,test_recall
0622_123156,0.8883592007052753,0.8039825762289982,0.8984210003826616,0.8260097647581003,0.789857589440778,0.8684791605510214, 0.7529801324503311, 0.8305332359386414,0.8526905283662041
0622_122652,0.8583381008090809,0.7874762808349146,0.876151075104025,0.809366470334722,0.800132362673726,0.881615756641673,0.788135593220339, 0.8125, 0.8646953405017921
0622_122337,0.859082665470498,0.7759562841530054,0.8426270219478422,0.7808900523560209,0.7865008880994672,0.8496215417192936, 0.709160794362588, 0.8827751196172249, 0.8402445507708666
0622_121648,0.9075392420421002,0.8243521184697655,0.899658123621254,0.8297450424929178,0.7854647099930119,0.8570242200266184, 0.7513368983957219, 0.8228404099560761, 0.8501708150317228
0622_121030,0.8882105110803631,0.8128342245989305,0.8953078753824897,0.8255894112780918,0.8120085775553967,0.8907149714055909, 0.7818306951135582, 0.8446096654275093, 0.869640644361834
0622_120714,0.8374011143482455,0.7863501483679525,0.8309569850364524,0.7749118318235253,0.7833026396562308,0.871003694995903, 0.7350230414746544, 0.8383705650459922, 0.8453788874288217
0622_120247,0.8857112690887744,0.8043478260869565,0.8691197200954681,0.8042045030476428,0.784115523465704,0.8595572996519737, 0.7669491525423728, 0.8020679468242246, 0.8527818808468735
0622_115611,0.8996394424202567,0.8356807511737089,0.8964317224223961,0.8255430385261716,0.7933884297520661,0.8695418365933882, 0.7741935483870968, 0.8135593220338984, 0.8587570621468926
0622_114956,0.8979178797690773,0.8190148911798396,0.889856795420691,0.8145917001338688,0.8117647058823529,0.8883882617954909, 0.7970297029702971, 0.827054794520548, 0.8721461187214612
0622_114323,0.9046855937298285,0.8318695106649937,0.8963192499931895,0.8296974465345827,0.8213087248322147,0.8999466225134836, 0.7939983779399837, 0.8505647263249348, 0.8766290182450044
0622_113716,0.8682077335745597,0.8176400476758046,0.8967691351684771,0.8191865925016254,0.8275658089322686,0.8951184974716189, 0.7798216276477146, 0.8815374921235035, 0.877546733879437
0622_113050,0.8971708183913731,0.8173719376391982,0.8960311678424931,0.8243114909781576,0.8289313287281593,0.8902682864132759, 0.7738998482549317, 0.8923884514435696, 0.8772236803732867
0622_112445,0.9110664149007218,0.832579185520362,0.8879604576633774,0.8146375259809788,0.8189349112426035,0.8712967719455951, 0.7899543378995434, 0.8501228501228502,0.8746928746928747
0622_111845,0.9231146656967932,0.8482362592288761,0.8687064381769145,0.8014285714285714,0.8237986270022883,0.8901009635812887, 0.7988165680473372, 0.8503937007874016,0.878740157480315
0622_111543,0.8507893377736375,0.7724137931034483,0.8039463964698775,0.7525019954564991,0.756187467087941,0.8735670641495974, 0.8963795255930087, 0.756187467087941, 0.807324178110695
